"","Control_1","Control_2","Control_3","Treated_1","Treated_2","Treated_3"
"Gene_158",59,89,118,70,85,122
"Gene_159",48,68,103,74,89,128
"Gene_160",48,80,91,70,85,141
"Gene_161",69,80,110,66,97,110
"Gene_162",64,84,79,69,104,132
"Gene_163",54,80,84,60,101,110
"Gene_164",47,72,105,61,107,111
"Gene_165",52,67,116,54,100,100
"Gene_166",55,77,120,64,91,117
"Gene_167",50,78,95,63,88,94
"Gene_168",55,90,112,69,92,117
"Gene_169",57,89,110,65,89,126
"Gene_170",57,65,83,62,94,111
"Gene_171",64,82,86,72,76,111
"Gene_172",52,73,99,59,96,104
"Gene_173",62,83,125,61,101,128
"Gene_174",57,70,101,62,112,128
"Gene_175",73,71,105,59,107,110
"Gene_176",57,92,91,61,95,132
"Gene_177",55,74,98,48,90,120
"Gene_178",50,90,105,55,80,152
"Gene_179",59,86,86,67,94,116
"Gene_180",62,76,104,62,110,117
"Gene_181",60,71,117,60,110,116
"Gene_182",53,100,84,46,91,122
"Gene_183",53,88,86,63,104,120
"Gene_184",51,81,91,54,100,92
"Gene_185",59,94,104,66,96,114
"Gene_186",48,86,118,56,95,106
"Gene_187",55,93,100,66,104,116
"Gene_188",57,79,125,49,80,112
"Gene_189",51,81,109,56,109,108
"Gene_190",61,77,99,62,95,118
"Gene_191",62,85,124,54,96,159
"Gene_192",60,71,120,61,84,134
"Gene_193",55,76,100,62,107,120
"Gene_194",35,81,121,60,112,123
"Gene_195",50,89,84,74,97,111
"Gene_196",59,67,100,63,78,134
"Gene_197",48,71,116,70,96,112
"Gene_198",55,66,104,60,76,130
"Gene_199",68,76,109,58,74,104
"Gene_200",55,55,99,62,104,99
"Gene_201",47,85,105,57,90,124
"Gene_202",46,95,112,54,107,117
"Gene_203",53,75,105,65,112,100
"Gene_204",47,80,98,62,106,100
"Gene_205",56,90,101,63,94,129
"Gene_206",66,75,99,65,95,136
"Gene_207",55,80,109,66,109,118
"Gene_208",62,98,101,58,98,120
"Gene_209",59,77,99,77,95,114
"Gene_210",55,79,108,66,112,120
"Gene_211",46,82,107,68,104,144
"Gene_212",53,95,108,65,94,123
"Gene_213",56,88,118,57,100,87
"Gene_214",64,75,117,70,95,105
"Gene_215",70,74,96,58,104,134
"Gene_216",65,84,86,75,66,124
"Gene_217",55,90,95,68,113,99
"Gene_218",45,92,107,54,91,104
"Gene_219",62,81,103,58,103,128
"Gene_220",52,81,90,76,92,105
"Gene_221",62,83,83,61,85,135
"Gene_222",60,89,99,60,78,102
"Gene_223",47,81,96,69,102,124
"Gene_224",54,76,121,70,97,112
"Gene_225",57,91,95,70,91,130
"Gene_226",56,87,98,69,79,134
"Gene_227",58,88,101,62,92,130
"Gene_228",56,83,95,68,98,130
"Gene_229",46,74,104,66,112,136
"Gene_230",50,88,91,68,88,135
"Gene_231",54,78,92,57,88,132
"Gene_232",63,93,109,78,82,116
"Gene_233",64,72,99,66,94,116
"Gene_234",55,72,94,66,94,104
"Gene_235",59,88,96,67,100,134
"Gene_236",43,78,91,71,100,105
"Gene_237",63,65,90,71,96,124
"Gene_238",62,93,112,62,103,138
"Gene_239",63,86,96,66,114,110
"Gene_240",52,65,107,70,104,112
"Gene_241",57,87,108,58,96,140
"Gene_242",46,84,98,60,83,98
"Gene_243",47,72,114,68,86,105
"Gene_244",53,83,104,61,94,106
"Gene_245",51,88,92,70,90,138
"Gene_246",52,86,107,55,116,124
"Gene_247",49,75,103,62,90,98
"Gene_248",54,89,101,57,108,120
"Gene_249",43,92,122,69,90,148
"Gene_250",60,71,116,60,103,99
"Gene_251",60,76,109,68,103,122
"Gene_252",45,86,87,62,103,135
"Gene_253",60,80,81,64,107,140
"Gene_254",45,71,118,75,97,117
"Gene_255",62,71,86,67,98,129
"Gene_256",52,78,100,62,91,126
"Gene_257",55,89,121,67,94,120
"Gene_258",48,79,101,74,96,112
"Gene_259",60,76,109,71,88,124
"Gene_260",55,72,120,58,88,112
"Gene_261",61,73,117,64,96,136
"Gene_262",54,74,103,63,100,100
"Gene_263",59,71,117,61,95,130
"Gene_264",52,66,96,66,104,136
"Gene_265",64,80,120,58,94,126
"Gene_266",57,82,110,64,106,122
"Gene_267",62,86,92,67,108,98
"Gene_268",46,89,110,66,110,140
"Gene_269",62,73,118,89,96,116
"Gene_270",48,70,118,65,96,134
"Gene_271",47,74,101,56,98,134
"Gene_272",58,102,131,71,104,120
"Gene_273",62,82,96,72,115,129
"Gene_274",57,98,92,54,92,134
"Gene_275",50,77,108,59,106,132
"Gene_276",59,71,107,67,90,99
"Gene_277",62,78,86,70,80,94
"Gene_278",66,82,95,58,112,122
"Gene_279",56,71,109,62,103,111
"Gene_280",55,85,105,52,113,126
"Gene_281",45,78,95,66,97,111
"Gene_282",49,96,90,61,98,116
"Gene_283",50,93,100,64,97,106
"Gene_284",53,73,101,67,113,120
"Gene_285",43,72,96,58,107,118
"Gene_286",58,74,91,69,98,90
"Gene_287",54,91,118,80,121,118
"Gene_288",57,89,100,59,113,98
"Gene_289",58,76,95,60,119,141
"Gene_290",55,70,117,54,89,114
"Gene_291",40,78,101,63,107,128
"Gene_292",48,79,116,58,112,98
"Gene_293",59,87,88,60,97,117
"Gene_294",57,77,108,62,94,106
"Gene_295",62,95,96,75,102,123
"Gene_296",61,73,114,62,92,126
"Gene_297",55,79,107,66,94,112
"Gene_298",58,81,108,72,98,99
"Gene_299",50,89,94,65,89,102
"Gene_300",70,78,135,84,98,129
"Gene_301",73,78,118,72,119,129
"Gene_302",61,83,125,71,102,118
"Gene_303",59,73,100,71,106,102
"Gene_304",52,68,107,61,98,110
"Gene_305",46,80,110,69,104,132
"Gene_306",55,75,103,66,77,132
"Gene_307",44,71,98,57,112,123
"Gene_308",51,88,110,78,92,93
"Gene_309",57,89,108,62,101,136
"Gene_310",49,92,103,74,104,124
"Gene_311",58,85,95,65,102,135
"Gene_312",61,67,105,75,115,108
"Gene_313",61,84,91,71,73,92
"Gene_314",51,84,126,61,95,120
"Gene_315",58,69,116,54,85,138
"Gene_316",52,81,92,64,80,104
"Gene_317",58,75,94,65,104,98
"Gene_318",55,72,100,62,98,104
"Gene_319",43,83,117,66,96,135
"Gene_320",65,68,124,73,106,102
"Gene_321",51,78,112,47,100,105
"Gene_322",54,77,96,57,98,118
"Gene_323",53,70,109,59,125,104
"Gene_324",53,78,101,60,125,116
"Gene_325",52,87,108,68,88,126
"Gene_326",55,91,75,63,86,117
"Gene_327",58,79,103,64,98,129
"Gene_328",59,80,105,74,91,135
"Gene_329",63,89,109,60,101,120
"Gene_330",49,82,126,54,70,111
"Gene_331",57,82,99,59,90,99
"Gene_332",59,77,92,62,101,117
"Gene_333",57,94,122,73,104,128
"Gene_334",59,85,113,59,98,111
"Gene_335",55,88,95,58,90,118
"Gene_336",53,78,100,73,83,140
"Gene_337",60,63,108,55,91,126
"Gene_338",59,75,95,66,104,129
"Gene_339",57,86,110,53,94,111
"Gene_340",58,89,116,61,86,116
"Gene_341",48,63,92,67,91,135
"Gene_342",57,68,88,72,76,116
"Gene_343",57,92,108,59,92,110
"Gene_344",64,81,78,53,107,123
"Gene_345",51,73,95,66,114,98
"Gene_346",59,78,95,58,101,124
"Gene_347",59,88,95,64,113,117
"Gene_348",55,86,113,55,97,102
"Gene_349",48,90,104,60,74,117
"Gene_350",55,91,92,70,79,96
"Gene_351",58,88,103,78,89,142
"Gene_352",57,83,105,75,95,104
"Gene_353",50,80,103,64,92,117
"Gene_354",57,81,100,66,96,117
"Gene_355",50,83,87,60,92,108
"Gene_356",62,71,99,54,103,112
"Gene_357",42,76,90,85,85,120
"Gene_358",58,75,100,82,82,124
"Gene_359",64,73,91,56,107,104
"Gene_360",49,72,109,74,86,124
"Gene_361",55,80,116,70,90,126
"Gene_362",52,66,91,54,100,118
"Gene_363",60,89,82,57,94,118
"Gene_364",57,74,98,50,95,118
"Gene_365",60,91,99,64,110,96
"Gene_366",54,51,92,66,90,130
"Gene_367",64,63,109,73,103,134
"Gene_368",62,79,114,56,113,135
"Gene_369",58,78,118,67,95,124
"Gene_370",60,79,127,54,104,116
"Gene_371",62,87,77,58,110,116
"Gene_372",39,66,79,62,106,111
"Gene_373",57,81,98,69,101,134
"Gene_374",66,85,99,62,97,111
"Gene_375",56,77,131,52,112,140
"Gene_376",52,81,124,70,97,92
"Gene_377",53,91,101,62,112,129
"Gene_378",59,87,118,52,98,123
"Gene_379",57,83,95,68,102,122
"Gene_380",61,66,109,65,77,120
"Gene_381",50,76,107,57,114,120
"Gene_382",66,86,116,70,92,114
"Gene_383",56,85,109,63,103,132
"Gene_384",63,80,103,69,107,118
"Gene_385",68,70,103,66,82,100
"Gene_386",54,77,112,65,85,132
"Gene_387",50,73,105,60,97,114
"Gene_388",55,78,99,59,95,120
"Gene_389",57,94,107,62,94,122
"Gene_390",66,82,104,69,107,129
"Gene_391",54,58,108,63,100,118
"Gene_392",46,70,87,65,98,98
"Gene_393",56,74,99,74,106,105
"Gene_394",57,76,103,66,104,142
"Gene_395",64,89,110,66,95,93
"Gene_396",57,73,70,70,84,118
"Gene_397",60,76,77,60,80,126
"Gene_398",60,87,81,66,130,123
"Gene_399",62,71,101,76,114,138
"Gene_400",52,73,88,77,100,158
"Gene_401",41,66,114,62,102,126
"Gene_402",55,77,91,74,104,117
"Gene_403",64,96,100,60,103,122
"Gene_404",64,77,91,68,89,98
"Gene_405",49,86,101,71,85,138
"Gene_406",55,79,101,74,94,117
"Gene_407",51,92,84,58,106,93
"Gene_408",57,88,98,77,78,116
"Gene_409",58,79,105,64,97,135
"Gene_410",59,73,108,74,92,116
"Gene_411",52,72,101,55,103,105
"Gene_412",62,76,100,66,80,106
"Gene_413",55,73,98,62,82,120
"Gene_414",52,75,113,56,86,112
"Gene_415",55,83,100,74,90,136
"Gene_416",50,81,101,59,91,90
"Gene_417",60,75,96,62,91,141
"Gene_418",58,98,96,54,102,111
"Gene_419",52,77,100,66,90,118
"Gene_420",57,78,110,54,109,128
"Gene_421",61,76,98,67,103,117
"Gene_422",57,79,116,63,100,123
"Gene_423",52,70,107,58,91,116
"Gene_424",56,85,108,52,96,116
"Gene_425",48,79,112,74,92,111
"Gene_426",49,72,103,55,95,120
"Gene_427",55,89,100,46,96,116
"Gene_428",59,71,112,58,91,111
"Gene_429",56,68,105,62,86,110
"Gene_430",70,67,101,79,68,129
"Gene_431",64,91,116,62,84,124
"Gene_432",57,69,108,62,89,94
"Gene_433",58,81,114,64,104,105
"Gene_434",52,74,98,66,97,130
"Gene_435",50,86,98,62,114,130
"Gene_436",47,68,92,65,116,136
"Gene_437",49,67,99,52,90,116
"Gene_438",61,90,118,62,109,126
"Gene_439",63,82,107,60,110,135
"Gene_440",58,84,105,55,110,118
"Gene_441",52,82,95,65,86,111
"Gene_442",53,77,121,64,86,106
"Gene_443",52,81,82,61,108,135
"Gene_444",52,74,124,66,106,90
"Gene_445",61,76,105,67,89,108
"Gene_446",61,80,99,67,110,126
"Gene_447",48,76,99,71,95,126
"Gene_448",60,90,117,67,95,129
"Gene_449",57,82,94,50,73,138
"Gene_450",50,89,94,75,94,118
"Gene_451",51,101,114,70,114,122
"Gene_452",56,75,116,58,100,98
"Gene_453",65,72,124,65,100,102
"Gene_454",58,75,86,67,91,106
"Gene_455",62,95,101,76,115,112
"Gene_456",54,82,88,67,96,138
"Gene_457",55,64,109,57,101,122
"Gene_458",52,88,103,62,115,122
"Gene_459",50,75,116,60,94,114
"Gene_460",49,71,109,57,113,118
"Gene_461",57,79,104,70,102,129
"Gene_462",57,80,117,67,80,104
"Gene_463",62,98,98,50,97,134
"Gene_464",57,72,94,65,108,112
"Gene_465",60,80,110,68,92,112
"Gene_466",52,76,117,59,116,130
"Gene_467",62,74,79,71,98,124
"Gene_468",46,81,120,52,98,117
"Gene_469",54,72,94,66,90,124
"Gene_470",53,92,108,66,103,118
"Gene_471",57,83,129,75,101,106
"Gene_472",64,69,91,66,104,118
"Gene_473",54,70,107,50,86,128
"Gene_474",56,82,99,54,115,114
"Gene_475",54,72,103,81,106,123
"Gene_476",51,84,104,70,122,108
"Gene_477",59,79,105,76,92,130
"Gene_478",49,86,121,51,118,118
"Gene_479",54,65,129,76,97,154
"Gene_480",50,81,104,72,82,118
"Gene_481",54,83,118,72,96,111
"Gene_482",38,73,124,57,97,152
"Gene_483",62,72,94,66,77,130
"Gene_484",49,82,103,58,72,135
"Gene_485",59,88,104,56,84,142
"Gene_486",48,78,103,60,83,134
"Gene_487",60,80,95,78,82,126
"Gene_488",50,77,84,81,86,141
"Gene_489",67,86,117,58,73,130
"Gene_490",62,68,125,66,113,102
"Gene_491",55,85,92,64,84,102
"Gene_492",55,97,104,58,98,123
"Gene_493",46,64,105,62,113,106
"Gene_494",56,73,91,73,76,144
"Gene_495",75,77,107,65,104,123
"Gene_496",56,81,110,62,83,128
"Gene_497",61,72,110,64,89,84
"Gene_498",61,89,118,62,89,124
"Gene_499",66,82,105,72,102,123
"Gene_500",56,84,109,56,96,120
"Gene_501",63,63,104,71,85,136
"Gene_502",45,85,110,64,103,126
"Gene_503",62,82,114,66,112,116
"Gene_504",66,70,103,55,95,112
"Gene_505",45,72,96,68,113,126
"Gene_506",65,86,96,68,102,108
"Gene_507",47,84,90,75,77,112
"Gene_508",55,77,84,61,84,135
"Gene_509",52,78,70,67,116,116
"Gene_510",50,79,107,63,97,108
"Gene_511",56,69,105,67,89,96
"Gene_512",36,80,96,69,94,117
"Gene_513",47,81,104,59,98,108
"Gene_514",57,58,107,66,82,124
"Gene_515",57,86,101,58,116,102
"Gene_516",49,85,112,64,86,126
"Gene_517",57,70,110,65,94,108
"Gene_518",64,81,127,70,95,123
"Gene_519",57,71,112,69,97,142
"Gene_520",57,83,130,58,96,124
"Gene_521",57,80,113,71,97,117
"Gene_522",54,68,124,60,80,120
"Gene_523",57,86,109,75,89,102
"Gene_524",57,65,104,61,98,138
"Gene_525",59,62,108,65,89,105
"Gene_526",53,77,121,50,100,105
"Gene_527",56,80,109,61,112,124
"Gene_528",62,88,113,70,102,111
"Gene_529",52,83,79,67,89,108
"Gene_530",62,86,105,67,103,132
"Gene_531",43,85,92,64,113,130
"Gene_532",62,78,107,65,96,120
"Gene_533",57,80,116,55,83,105
"Gene_534",49,88,112,58,96,122
"Gene_535",50,79,104,59,88,116
"Gene_536",51,78,113,64,133,129
"Gene_537",60,80,104,69,86,132
"Gene_538",57,81,120,68,90,118
"Gene_539",61,82,91,66,78,117
"Gene_540",64,74,90,66,89,118
"Gene_541",68,78,96,67,86,132
"Gene_542",55,87,91,74,79,134
"Gene_543",41,74,100,74,86,96
"Gene_544",52,88,108,50,103,105
"Gene_545",55,73,122,59,108,136
"Gene_546",59,82,120,66,113,132
"Gene_547",62,74,120,48,84,138
"Gene_548",52,77,116,76,120,142
"Gene_549",51,84,114,55,104,118
"Gene_550",52,90,107,70,100,129
"Gene_551",57,89,92,72,85,105
"Gene_552",62,74,96,68,124,117
"Gene_553",57,71,113,70,95,116
"Gene_554",50,81,95,58,107,116
"Gene_555",54,62,98,62,95,141
"Gene_556",62,83,83,53,98,129
"Gene_557",66,77,88,63,88,129
"Gene_558",57,82,108,74,115,117
"Gene_559",53,66,108,68,104,132
"Gene_560",63,88,95,64,109,123
"Gene_561",50,78,99,66,86,98
"Gene_562",51,86,117,72,85,104
"Gene_563",55,73,122,54,114,108
"Gene_564",55,66,114,63,79,120
"Gene_565",58,91,84,52,101,99
"Gene_566",46,78,122,50,96,117
"Gene_567",51,91,101,61,89,120
"Gene_568",51,84,121,71,83,126
"Gene_569",66,93,118,60,92,104
"Gene_570",66,79,92,64,92,152
"Gene_571",64,82,103,68,82,124
"Gene_572",50,81,107,68,91,116
"Gene_573",57,82,105,69,109,112
"Gene_574",60,91,113,66,100,135
"Gene_575",62,63,98,54,97,112
"Gene_576",55,92,91,56,101,96
"Gene_577",55,77,104,66,116,110
"Gene_578",55,79,92,67,98,124
"Gene_579",64,71,108,62,95,106
"Gene_580",63,78,120,69,92,141
"Gene_581",61,77,101,64,102,102
"Gene_582",54,74,103,63,80,106
"Gene_583",62,92,96,63,92,134
"Gene_584",56,84,96,64,94,116
"Gene_585",57,89,112,63,85,122
"Gene_586",55,86,116,68,73,128
"Gene_587",60,75,109,63,88,120
"Gene_588",55,59,86,69,107,104
"Gene_589",52,89,121,63,90,110
"Gene_590",59,71,101,70,95,110
"Gene_591",57,90,107,69,107,146
"Gene_592",51,82,103,57,85,108
"Gene_593",48,63,125,57,103,111
"Gene_594",61,73,105,75,100,114
"Gene_595",43,86,109,60,97,138
"Gene_596",49,67,105,52,88,99
"Gene_597",59,78,91,52,92,128
"Gene_598",59,97,90,66,91,124
"Gene_599",55,91,120,74,103,136
"Gene_600",55,80,95,69,96,94
"Gene_601",62,81,113,67,95,112
"Gene_602",60,80,114,58,96,111
"Gene_603",62,90,99,67,83,124
"Gene_604",71,76,98,58,90,117
"Gene_605",59,73,109,68,101,111
"Gene_606",57,85,114,61,115,99
"Gene_607",42,71,108,74,108,104
"Gene_608",60,76,84,78,106,128
"Gene_609",61,88,127,79,95,126
"Gene_610",50,74,105,72,91,136
"Gene_611",65,99,122,49,89,124
"Gene_612",55,82,100,66,103,140
"Gene_613",59,74,90,56,106,140
"Gene_614",57,86,110,58,102,138
"Gene_615",55,81,83,58,109,129
"Gene_616",55,75,120,65,103,117
"Gene_617",62,87,113,66,86,106
"Gene_618",55,77,98,62,97,114
"Gene_619",43,87,96,55,82,128
"Gene_620",50,93,114,60,100,96
"Gene_621",59,65,110,63,103,120
"Gene_622",59,75,109,56,77,134
"Gene_623",45,77,101,62,84,141
"Gene_624",51,70,114,63,92,98
"Gene_625",64,80,122,66,92,112
"Gene_626",54,69,84,46,107,102
"Gene_627",51,71,99,67,96,114
"Gene_628",46,74,91,70,85,102
"Gene_629",57,76,120,61,83,108
"Gene_630",52,81,118,62,82,104
"Gene_631",57,71,101,65,91,129
"Gene_632",67,84,112,66,91,92
"Gene_633",55,89,107,78,86,117
"Gene_634",54,72,107,70,96,105
"Gene_635",52,71,113,69,83,123
"Gene_636",61,87,116,80,120,142
"Gene_637",62,75,100,58,120,146
"Gene_638",56,86,91,60,106,108
"Gene_639",48,89,96,66,92,118
"Gene_640",62,84,107,53,85,124
"Gene_641",43,98,92,65,80,111
"Gene_642",72,82,84,63,96,118
"Gene_643",47,79,86,69,103,110
"Gene_644",61,76,90,64,103,93
"Gene_645",57,96,103,78,91,116
"Gene_646",55,80,125,62,85,128
"Gene_647",61,80,91,66,96,152
"Gene_648",58,74,107,64,101,129
"Gene_649",53,80,124,74,92,111
"Gene_650",50,85,98,45,96,132
"Gene_651",58,65,108,69,95,123
"Gene_652",52,83,105,54,91,116
"Gene_653",45,76,114,58,110,129
"Gene_654",57,73,86,65,83,116
"Gene_655",57,81,108,58,95,118
"Gene_656",55,79,94,54,102,136
"Gene_657",69,81,107,63,88,130
"Gene_658",57,75,109,66,101,122
"Gene_659",55,91,100,69,98,122
"Gene_660",64,72,112,73,82,114
"Gene_661",62,88,121,63,101,124
"Gene_662",50,90,101,54,74,128
"Gene_663",61,76,96,63,98,100
"Gene_664",55,74,100,54,112,136
"Gene_665",63,81,90,57,80,111
"Gene_666",50,95,107,57,101,123
"Gene_667",61,87,103,65,83,126
"Gene_668",62,85,114,65,96,116
"Gene_669",66,84,116,66,104,130
"Gene_670",65,78,78,62,83,123
"Gene_671",63,65,95,59,110,117
"Gene_672",48,81,78,78,108,114
"Gene_673",53,92,96,50,85,87
"Gene_674",56,73,120,54,78,134
"Gene_675",63,87,99,59,112,114
"Gene_676",61,90,116,70,92,128
"Gene_677",45,86,95,70,90,129
"Gene_678",61,73,90,61,112,111
"Gene_679",65,86,108,63,92,118
"Gene_680",55,76,82,54,96,100
"Gene_681",57,64,104,73,88,82
"Gene_682",45,72,88,68,96,122
"Gene_683",58,74,121,62,98,112
"Gene_684",58,79,112,50,73,99
"Gene_685",52,68,116,54,94,120
"Gene_686",73,97,118,78,92,136
"Gene_687",52,85,100,61,100,112
"Gene_688",57,95,101,58,86,123
"Gene_689",66,78,84,66,85,117
"Gene_690",47,77,95,70,83,118
"Gene_691",62,91,98,72,85,99
"Gene_692",66,50,98,60,109,98
"Gene_693",55,78,107,74,94,114
"Gene_694",59,79,112,55,86,122
"Gene_695",55,82,98,74,95,147
"Gene_696",62,80,100,57,84,141
"Gene_697",48,87,109,69,95,141
"Gene_698",57,76,79,52,98,141
"Gene_699",46,67,83,64,84,105
"Gene_700",53,73,82,66,84,117
"Gene_701",56,74,98,68,97,134
"Gene_702",48,74,101,66,88,118
"Gene_703",57,90,104,52,85,120
"Gene_704",47,77,96,70,84,124
"Gene_705",58,84,118,67,91,120
"Gene_706",50,67,84,61,68,138
"Gene_707",44,78,101,61,97,152
"Gene_708",57,97,88,64,109,124
"Gene_709",61,94,103,58,113,105
"Gene_710",62,90,105,68,100,116
"Gene_711",67,91,120,66,109,120
"Gene_712",71,100,122,72,92,110
"Gene_713",65,83,105,69,101,124
"Gene_714",68,75,124,64,91,111
"Gene_715",61,86,104,56,86,90
"Gene_716",67,93,87,69,94,135
"Gene_717",64,105,113,67,114,108
"Gene_718",55,78,78,61,103,114
"Gene_719",59,91,96,59,88,122
"Gene_720",50,86,116,76,96,146
"Gene_721",71,80,114,75,103,117
"Gene_722",53,79,84,58,94,110
"Gene_723",59,71,91,64,71,110
"Gene_724",49,77,84,60,90,114
"Gene_725",55,75,73,63,86,123
"Gene_726",52,75,125,58,91,130
"Gene_727",50,89,110,54,108,114
"Gene_728",57,95,121,69,104,124
"Gene_729",46,75,95,66,102,118
"Gene_730",59,77,72,73,96,126
"Gene_731",51,76,113,58,95,120
"Gene_732",62,85,98,56,90,105
"Gene_733",53,105,103,73,88,108
